Não entendi;erro
Não compreendi;erro
Pode repetir?;erro
Pode falar de novo?;erro
Desculpe, não entendi;erro
Desculpe, não compreendi;erro
Não sei responder a isso;erro
Não tenho essa informação;erro
Não encontrei essa informação;erro
Pode reformular sua pergunta?;erro
Pode tentar outra forma de perguntar?;erro
Não entendi sua solicitação;erro
Não sei o que você quer dizer;erro
Pode ser mais específico(a)?;erro
Pode me dar mais detalhes?;erro
Preciso de mais informações para te ajudar;erro
Não estou conseguindo te entender;erro
Sua mensagem não está clara;erro
Por favor, tente novamente;erro
Tente usar outras palavras;erro
Não sei como te ajudar com isso;erro
Não estou preparado(a) para responder a essa pergunta;erro
Essa pergunta está fora do meu escopo;erro
Não fui treinado(a) para responder a essa pergunta;erro
Essa não é uma pergunta que eu possa responder;erro
Não tenho permissão para responder a essa pergunta;erro
Essa pergunta não faz sentido;erro
Sua pergunta é muito complexa;erro
Sua pergunta é muito confusa;erro
Não consigo processar sua pergunta;erro
Houve um erro ao processar sua pergunta;erro
Tente mais tarde;erro
O sistema está temporariamente indisponível;erro
Ocorreu um erro inesperado;erro
Algo deu errado;erro
Não foi possível completar sua solicitação;erro
Não foi possível encontrar o que você procura;erro
Não foi possível processar sua solicitação;erro
Por favor, tente mais tarde;erro
Sinto muito, houve um erro;erro
Houve um problema técnico;erro
Estamos trabalhando para corrigir o erro;erro
Por favor, aguarde alguns instantes e tente novamente;erro
Se o erro persistir, entre em contato com o suporte;erro
